category_id,category
1,أطعمة ومشروبات > طعام > حساء ومرق
2,أطعمة ومشروبات > طعام > الجوز والبذور
3,أطعمة ومشروبات > طعام > وجبات خفيفة ورقائق
4,أطعمة ومشروبات > طعام > بدائل اللحوم
5,أطعمة ومشروبات > طعام > توابل وبهارات
6,أطعمة ومشروبات > طعام > مكرونة وحبوب
7,أطعمة ومشروبات > طعام > أطعمة سابقة التجهيز ومجموعات وجبات
8,أطعمة ومشروبات > طعام > حلوى وشوكولاتة
9,أطعمة ومشروبات > طعام > صلصات غمس وأطعمة دهن
10,أطعمة ومشروبات > طعام > لحوم ومأكولات بحرية
11,أطعمة ومشروبات > طعام > خَبز وخُبز
12,أطعمة ومشروبات > طعام > توابل وصلصات
13,أطعمة ومشروبات > طعام > منتجات ألبان وبيض وجبن
14,أطعمة ومشروبات > طعام > طعام مجمد
15,أطعمة ومشروبات > طعام > مكونات خَبز
16,أطعمة ومشروبات > طعام > فواكه وخضروات
17,أطعمة ومشروبات > طعام > حبوب الإفطار
18,أطعمة ومشروبات > طعام
19,أطعمة ومشروبات > مشروبات > المشروبات الرياضية ومشروبات الطاقة
20,أطعمة ومشروبات > مشروبات > عصير
21,أطعمة ومشروبات > مشروبات > مزيج مشروبات بودرة
22,أطعمة ومشروبات > مشروبات > صودا
23,أطعمة ومشروبات > مشروبات > ماء
24,أطعمة ومشروبات > مشروبات > قهوة وشاي
25,أطعمة ومشروبات > مشروبات > مشروبات كحولية
26,أطعمة ومشروبات > مشروبات > لبن
27,أطعمة ومشروبات > مشروبات
28,أطعمة ومشروبات
29,ألعاب > ألعاب في الهواء الطلق
30,ألعاب > ألعاب حيوانات ودُمَى محشوة
31,ألعاب > ألعاب > ألعاب تمثيل الأدوار
32,ألعاب > ألعاب > شطرنج
33,ألعاب > ألعاب > ألعاب مصغرة وألعاب حروب
34,ألعاب > ألعاب > ألعاب نرد
35,ألعاب > ألعاب > ألعاب الرقعة
36,ألعاب > ألعاب > ألعاب ورق
37,ألعاب > ألعاب > ألعاب مهارة
38,ألعاب > ألعاب > ألعاب ألواح
39,ألعاب > ألعاب
40,ألعاب > أحجيات
41,ألعاب > ألعاب ركوب
42,ألعاب > ألعاب المحاكاة
43,ألعاب > ألعاب الآليات
44,ألعاب > ألعاب بالتحكم عن بُعد
45,ألعاب > لعب تعليمية
46,ألعاب > دُمَى وبيوت دُمَى
47,ألعاب > ألعاب بناء
48,ألعاب > شخصيات الأبطال
49,ألعاب > ألعاب إلكترونية
50,ألعاب
51,تجديد منازل > تدفئة وتبريد منازل
52,تجديد منازل > مستلزمات ومعدات البناء
53,تجديد منازل > سباكة وتركيبات
54,تجديد منازل > أدوات > سقالات وسلالم
55,تجديد منازل > أدوات > أدوات طلاء
56,تجديد منازل > أدوات > أدوات تشغيل
57,تجديد منازل > أدوات > أدوات وحساسات قياس
58,تجديد منازل > أدوات > أدوات تعمل بالهواء
59,تجديد منازل > أدوات > أدوات يدوية
60,تجديد منازل > أدوات
61,تجديد منازل
62,مستلزمات رياضية > أدوات رياضية > هوكي الجليد وهوكي الدحرجة
63,مستلزمات رياضية > أدوات رياضية > رجبي
64,مستلزمات رياضية > أدوات رياضية > رياضات التنس والراكيت
65,مستلزمات رياضية > أدوات رياضية > كرة طائرة
66,مستلزمات رياضية > أدوات رياضية > جولف
67,مستلزمات رياضية > أدوات رياضية > كرة قدم
68,مستلزمات رياضية > أدوات رياضية > كرة قدم
69,مستلزمات رياضية > أدوات رياضية > سباقات المضمار والميدان
70,مستلزمات رياضية > أدوات رياضية > كريكت
71,مستلزمات رياضية > أدوات رياضية > هوكي أرضي ولاكروس
72,مستلزمات رياضية > أدوات رياضية > ملاكمة وفنون قتالية
73,مستلزمات رياضية > أدوات رياضية > رقص وجمباز
74,مستلزمات رياضية > أدوات رياضية > بيسبول وسوفتبول
75,مستلزمات رياضية > أدوات رياضية > كرة سلة
76,مستلزمات رياضية > أدوات رياضية
77,مستلزمات رياضية > تمارين ولياقة بدنية > يوجا وبيلاتس
78,مستلزمات رياضية > تمارين ولياقة بدنية > جهاز تقوية القلب
79,مستلزمات رياضية > تمارين ولياقة بدنية > معدات رفع أثقال
80,مستلزمات رياضية > تمارين ولياقة بدنية
81,مستلزمات رياضية > ألعاب داخلية
82,مستلزمات رياضية > استجمام في الهواء الطلق > صيد
83,مستلزمات رياضية > استجمام في الهواء الطلق > رياضات مائية وركوب الزوارق
84,مستلزمات رياضية > استجمام في الهواء الطلق > تزلج
85,مستلزمات رياضية > استجمام في الهواء الطلق > ألعاب خارجية
86,مستلزمات رياضية > استجمام في الهواء الطلق > ركوب الدراجات
87,مستلزمات رياضية > استجمام في الهواء الطلق > رياضات شتوية
88,مستلزمات رياضية > استجمام في الهواء الطلق > تسلق
89,مستلزمات رياضية > استجمام في الهواء الطلق > تزلج بعجلات وتزلج بعجلات في صف واحد
90,مستلزمات رياضية > استجمام في الهواء الطلق > تخييم وتنزه سيرًا على الأقدام
91,مستلزمات رياضية > استجمام في الهواء الطلق
92,مستلزمات رياضية
93,مستلزمات حيوانات أليفة > عربات وأقفاص الحيوانات الأليفة
94,مستلزمات حيوانات أليفة > مستلزمات تشذيب الحيوانات الأليفة
95,مستلزمات حيوانات أليفة > مستلزمات حيوانات صغيرة
96,مستلزمات حيوانات أليفة > مستلزمات تقديم الماء والطعام للحيوانات الأليفة
97,مستلزمات حيوانات أليفة > زواحف وبرمائيات
98,مستلزمات حيوانات أليفة > أربطة وألجمة وأطواق الحيوانات الأليفة
99,مستلزمات حيوانات أليفة > مشايات ودرج الحيوانات الأليفة
100,مستلزمات حيوانات أليفة > مستلزمات طيور
101,مستلزمات حيوانات أليفة > العناية بالحيوانات الأليفة
102,مستلزمات حيوانات أليفة > أسرَّة وفراش الحيوانات الأليفة
103,مستلزمات حيوانات أليفة > مستلزمات أسماك
104,مستلزمات حيوانات أليفة > مستلزمات قطط
105,مستلزمات حيوانات أليفة > مستلزمات كلاب
106,مستلزمات حيوانات أليفة
107,فناء وحدائق > جهاز ري
108,فناء وحدائق > برك اصطناعية وشلالات مائية
109,فناء وحدائق > معدات كهربائية مخصصة للأماكن المفتوحة
110,فناء وحدائق > إضاءة خارجية
111,فناء وحدائق > مشاوي و أدوات طهي في الهواء الطلق
112,فناء وحدائق > نباتات وبذور وبصلات
113,فناء وحدائق > أثاث خارجي
114,فناء وحدائق > حمامات سباحة وسبا
115,فناء وحدائق > إكسسوارات العناية بالنباتات والتربة
116,فناء وحدائق > ديكورات حدائق
117,فناء وحدائق > أدوات ومعدات يدوية للحديقة
118,فناء وحدائق
119,مستلزمات مكتبية > مستلزمات الكتابة
120,مستلزمات مكتبية > لوحات العرض والتقديم
121,مستلزمات مكتبية > دباسات وخرَّامات
122,مستلزمات مكتبية > أجهزة عرض
123,مستلزمات مكتبية > شرائط ومواد لاصقة
124,مستلزمات مكتبية > حفظ وتخزين
125,مستلزمات مكتبية > سحّابات ومشابك
126,مستلزمات مكتبية > بطاقات
127,مستلزمات مكتبية > تقويمات ومخططات
128,مستلزمات مكتبية > ملفات وإكسسوارات
129,مستلزمات مكتبية > أدوات وأجهزة مكتبية
130,مستلزمات مكتبية > مستلزمات المراسلة
131,مستلزمات مكتبية > منتجات ورقية
132,مستلزمات مكتبية
133,آلات موسيقية > معدات صوت احترافية
134,آلات موسيقية > إكسسوارات موسيقية
135,آلات موسيقية > جيتارات وجيتارات بيس
136,آلات موسيقية > أدوات نحاسية
137,آلات موسيقية > طبل وآلات قرع
138,آلات موسيقية > بيانو وآلات لوحة مفاتيح
139,آلات موسيقية > آلات نفخ خشبية
140,آلات موسيقية > آلات وترية
141,آلات موسيقية
142,وسائط > صحف
143,وسائط > مجلات وكتالوجات
144,وسائط > كتب
145,وسائط > أفلام وبرامج تلفزيونية
146,وسائط > موسيقى
147,وسائط
148,سفر وأمتعة > أكياس ملابس
149,سفر وأمتعة > ملحقات سفر
150,سفر وأمتعة > حقائب يد ومحافظ > مَحافظ
151,سفر وأمتعة > حقائب يد ومحافظ > حقائب
152,سفر وأمتعة > حقائب يد ومحافظ > حقائب كروس
153,سفر وأمتعة > حقائب يد ومحافظ > حقائب سفر
154,سفر وأمتعة > حقائب يد ومحافظ > حقائب كتف
155,سفر وأمتعة > حقائب يد ومحافظ > قوابض
156,سفر وأمتعة > حقائب يد ومحافظ > حقائب التثبيت على الخصر
157,سفر وأمتعة > حقائب يد ومحافظ
158,سفر وأمتعة > حقائب سفر
159,سفر وأمتعة > حقائب قماشية وحقائب جيم
160,سفر وأمتعة > مجموعات أمتعة
161,سفر وأمتعة > حقائب مستندات وأجهزة كمبيوتر محمولة
162,سفر وأمتعة > حقائب ظهر
163,سفر وأمتعة
164,فنون وحرف يدوية > مستلزمات مهن يدوية
165,فنون وحرف يدوية > خياطة
166,فنون وحرف يدوية > غزل وتطريز
167,فنون وحرف يدوية > صناعة الخرز والمجوهرات
168,فنون وحرف يدوية > مستلزمات فنية
169,فنون وحرف يدوية
170,قطع غيار وإكسسوارات سيارات > قطع غيار وإكسسوارات المقطورات
171,قطع غيار وإكسسوارات سيارات > قطع غيار وإكسسوارات رياضات المحركات
172,قطع غيار وإكسسوارات سيارات > قطع غيار وإكسسوارات المقطورات والتخييم
173,قطع غيار وإكسسوارات سيارات > قطع غيار وإكسسوارات سيارات
174,قطع غيار وإكسسوارات سيارات > قطع غيار وإكسسوارات القوارب
175,قطع غيار وإكسسوارات سيارات > قطع غيار وإكسسوارات الدراجات النارية
176,قطع غيار وإكسسوارات سيارات > أدوات المركبات
177,قطع غيار وإكسسوارات سيارات
178,تحف ومقتنيات > هدايا تذكارية رياضية للاقتناء
179,تحف ومقتنيات > سلع منزلية للاقتناء
180,تحف ومقتنيات > أجهزة إلكترونية أثرية
181,تحف ومقتنيات > عملات معدنية وورقية أثرية
182,تحف ومقتنيات > طوابع لهواة الاقتناء
183,تحف ومقتنيات > أثاث أثري
184,تحف ومقتنيات > أجهزة أثرية
185,تحف ومقتنيات > العاب أثرية
186,تحف ومقتنيات
187,منتجات للأطفال > رضاعة
188,منتجات للأطفال > نقل الأطفال > حمالات رُضع
189,منتجات للأطفال > نقل الأطفال > مشايات وإكسسوارات
190,منتجات للأطفال > نقل الأطفال > مقاعد سيارات وإكسسوارات
191,منتجات للأطفال > نقل الأطفال
192,منتجات للأطفال > صحة وسلامة الرُضع
193,منتجات للأطفال > استحمام رُضع
194,منتجات للأطفال > دُمى > مراكز ترفيه ونشاطات
195,منتجات للأطفال > دُمى > ألعاب أطفال
196,منتجات للأطفال > دُمى
197,منتجات للأطفال > حفاضات وتدريب على استعمال النونية
198,منتجات للأطفال > حضانة > مفروشات أطفال
199,منتجات للأطفال > حضانة > ديكور الحضانة
200,منتجات للأطفال > حضانة > أثاث حضانات
201,منتجات للأطفال > حضانة
202,منتجات للأطفال
203,أجهزة إلكترونية > مشغلات فيديو وصوت محمولة
204,أجهزة إلكترونية > أنظمة صوت وفيديو منزلية
205,أجهزة إلكترونية > أنظمة أتمتة وأمن المنازل
206,أجهزة إلكترونية > هواتف خلوية وساعات ذكية > هواتف خلوية
207,أجهزة إلكترونية > هواتف خلوية وساعات ذكية > إكسسوارات هواتف خلوية وساعات ذكية
208,أجهزة إلكترونية > هواتف خلوية وساعات ذكية > ساعات ذكية
209,أجهزة إلكترونية > هواتف خلوية وساعات ذكية
210,أجهزة إلكترونية > أجهزة عرض
211,أجهزة إلكترونية > كاميرات > مناظير ثنائية العينين وتلسكوب
212,أجهزة إلكترونية > كاميرات > كاميرات أفلام
213,أجهزة إلكترونية > كاميرات > إكسسوارات الكاميرا
