category_id,category
1,comida e bebida > comida > sopas e caldos
2,comida e bebida > comida > frutos secos e sementes
3,comida e bebida > comida > petiscos e batatas fritas
4,comida e bebida > comida > substitutos da carne
5,comida e bebida > comida > especiarias e temperos
6,comida e bebida > comida > massas e grãos
7,comida e bebida > comida > menus e alimentos preparados
8,comida e bebida > comida > rebuçados e chocolate
9,comida e bebida > comida > cremes para barrar e molhos
10,comida e bebida > comida > carne e peixe
11,comida e bebida > comida > padaria e pão
12,comida e bebida > comida > condimentos e molhos
13,"comida e bebida > comida > lacticínios, ovos e queijo"
14,comida e bebida > comida > comida congelada
15,comida e bebida > comida > ingredientes para bolos
16,comida e bebida > comida > frutas e legumes
17,comida e bebida > comida > pequeno-almoço e cereais
18,comida e bebida > comida
19,comida e bebida > bebidas > bebidas desportivas e energéticas
20,comida e bebida > bebidas > sumo
21,comida e bebida > bebidas > misturas para bebidas
22,comida e bebida > bebidas > refrigerante
23,comida e bebida > bebidas > Água
24,comida e bebida > bebidas > café e chá
25,comida e bebida > bebidas > bebidas alcoólicas
26,comida e bebida > bebidas > leite
27,comida e bebida > bebidas
28,comida e bebida
29,brinquedos e jogos > brinquedos de exterior
30,brinquedos e jogos > animais e brinquedos de peluche
31,brinquedos e jogos > jogos > jogos de interpretação de personagens
32,brinquedos e jogos > jogos > xadrez
33,brinquedos e jogos > jogos > jogos de guerra e jogos de guerra com miniaturas
34,brinquedos e jogos > jogos > jogos de dados
35,brinquedos e jogos > jogos > jogos com peças
36,brinquedos e jogos > jogos > jogos de cartas
37,brinquedos e jogos > jogos > jogos de destreza
38,brinquedos e jogos > jogos > jogos de tabuleiro
39,brinquedos e jogos > jogos
40,brinquedos e jogos > puzzles
41,brinquedos e jogos > brinquedos de passeio
42,brinquedos e jogos > brincar de faz de conta
43,brinquedos e jogos > veículos de brincar
44,brinquedos e jogos > brinquedos telecomandados
45,brinquedos e jogos > brinquedos educacionais
46,brinquedos e jogos > bonecas e casas de bonecas
47,brinquedos e jogos > brinquedos de montar
48,brinquedos e jogos > figuras de ação
49,brinquedos e jogos > brinquedos eletrónicos
50,brinquedos e jogos
51,remodelação da casa > aquecimento e climatização da casa
52,remodelação da casa > material e equipamento de construção
53,remodelação da casa > canalização e artigos para canalização
54,remodelação da casa > ferramentas > escadas e andaimes
55,remodelação da casa > ferramentas > ferramentas de pintura
56,remodelação da casa > ferramentas > ferramentas elétricas
57,remodelação da casa > ferramentas > ferramentas e sensores de medição
58,remodelação da casa > ferramentas > ferramentas de ar
59,remodelação da casa > ferramentas > ferramentas manuais
60,remodelação da casa > ferramentas
61,remodelação da casa
62,material de desporto > equipamento desportivo > hóquei em patins e hóquei no gelo
