category_id,category
1,food & beverages > ምግብ > soups & broths
2,food & beverages > ምግብ > nuts & seeds
3,food & beverages > ምግብ > snacks & chips
4,food & beverages > ምግብ > meat substitutes
5,food & beverages > ምግብ > spices & seasonings
6,food & beverages > ምግብ > pasta & grains
7,food & beverages > ምግብ > prepared food & meal kits
8,food & beverages > ምግብ > candy & chocolate
9,food & beverages > ምግብ > dips & spreads
10,food & beverages > ምግብ > meat & seafood
11,food & beverages > ምግብ > bakery & bread
12,food & beverages > ምግብ > condiments & sauces
13,"food & beverages > ምግብ > dairy, eggs & cheese"
14,food & beverages > ምግብ > frozen food
15,food & beverages > ምግብ > baking ingredients
16,food & beverages > ምግብ > fruits & vegetables
17,food & beverages > ምግብ > breakfast & cereal
18,food & beverages > ምግብ
19,food & beverages > beverages > sports & energy drinks
20,food & beverages > beverages > juice
21,food & beverages > መጠጦች > powdered beverage mixes
22,food & beverages > beverages > soda
23,food & beverages > beverages > ውሃ
24,food & beverages > beverages > coffee & tea
25,food & beverages > beverages > alcoholic beverages
26,food & beverages > መጠጦች > milk
27,food & beverages > beverages
28,food & beverages
29,አሻንጉሊቶች እና ጨዋታዎች > የቤት ውጭ አሻንጉሊቶች
30,አሻንጉሊቶች እና ጨዋታዎች > የእንስሳ ጐፍላ እና የፀጉራም ጨርቅ አሻንጉሊቶች
31,አሻንጉሊቶች እና ጨዋታዎች > ጌሞች > ሰው ሚና የማስመሰል ጨዋታrole playing games
32,አሻንጉሊቶች እና ጨዋታዎች > ጌሞች > ቼዝ
33,አሻንጉሊቶች እና ጨዋታዎች > ጌሞች > በጣም ትንሽ ስዕል እና  የጦርነት መጨዋታዎች
34,አሻንጉሊቶች እና ጨዋታዎች > ጌሞች > የዳይስ ጨዋታዎች
35,አሻንጉሊቶች እና ጨዋታዎች > ጌሞች > የመሰደር ጨዋታዎች
36,አሻንጉሊቶች እና ጨዋታዎች > ጌሞች > የካርታ ጌሞች
37,አሻንጉሊቶች እና ጨዋታዎች > ጌሞች > የቅልጥፍና ጨዋታዎች
38,አሻንጉሊቶች እና ጨዋታዎች > ጌሞች > የሰሌዳ ጨዋታ
39,አሻንጉሊቶች እና ጨዋታዎች > ጌሞች
40,አሻንጉሊቶች እና ጨዋታዎች > ፐዝሎች
41,አሻንጉሊቶች እና ጨዋታዎች > የሚነዱ አሻንጉሊቶች
42,አሻንጉሊቶች እና ጨዋታዎች > pretend play
43,አሻንጉሊቶች እና ጨዋታዎች > አሻንጉሊት ተሽከርካሪዎች
44,አሻንጉሊቶች እና ጨዋታዎች > ባለ የርቀት መቆጣጠሪያ አሻንጉሊቶች
45,አሻንጉሊቶች እና ጨዋታዎች > ትምህርታዊ አሻንጉሊቶች
46,አሻንጉሊቶች እና ጨዋታዎች > ዶሎች እና የዶል ቤቶች
47,አሻንጉሊቶች እና ጨዋታዎች > የህንፃ የአሻንጉሊት
48,አሻንጉሊቶች እና ጨዋታዎች > የተግባር ምሳሌ
49,አሻንጉሊቶች እና ጨዋታዎች > የኤሌክተሮኒክ አሻንጉሊቶች
50,አሻንጉሊቶች እና ጨዋታዎች
51,የቤት ማሻሻያ > የቤት ማሞቂያ እና ማቀዝቀዣ
52,የቤት ማሻሻያ > የህንፃ አቅርቦት እና መሳሪዎች
53,የቤት ማሻሻያ > የቧምቧ ስራዎች እና እቃዎች
54,የቤት ማሻሻያ > መሳሪያዎች > መሰላሎች እና መወጣጫ
55,የቤት ማሻሻያ > መሳሪያዎች > የመሳያ እቃዎች
